"Datum","LUP","MSE","NWM","LRO","VG","VR","HRO","SN","MV"
"2021-02-22",3605,5251,1983,1959,5476,2125,1481,1628,23508
"2021-02-23",3641,5282,2017,1994,5521,2129,1487,1640,23711
"2021-02-24",3664,5321,2042,2044,5570,2136,1500,1660,23937
"2021-02-25",3694,5346,2067,2066,5639,2140,1511,1666,24129
"2021-02-26",3725,5361,2087,2103,5694,2150,1521,1672,24313
"2021-02-27",3768,5381,2106,2128,5732,2170,1528,1675,24488
"2021-02-28",3769,5385,2107,2137,5769,2175,1530,1682,24554
"2021-03-01",3771,5388,2110,2145,5808,2174,1533,1684,24613
"2021-03-02",3830,5404,2141,2200,5850,2188,1543,1707,24863
"2021-03-03",3864,5430,2181,2261,5900,2200,1553,1718,25107
"2021-03-04",3896,5452,2211,2297,5944,2208,1558,1729,25295
"2021-03-05",3937,5458,2241,2322,6000,2222,1568,1743,25491
"2021-03-06",3976,5473,2272,2351,6037,2227,1576,1751,25663
"2021-03-07",3976,5477,2275,2362,6057,2227,1584,1752,25710
"2021-03-08",3978,5480,2275,2367,6082,2236,1585,1759,25762
"2021-03-09",4018,5513,2316,2407,6100,2239,1603,1767,25963
"2021-03-10",4053,5530,2342,2432,6146,2258,1607,1777,26145
"2021-03-11",4091,5547,2375,2479,6196,2278,1611,1788,26365
"2021-03-12",4117,5561,2398,2494,6237,2297,1618,1806,26528
"2021-03-13",4148,5575,2423,2517,6267,2322,1624,1821,26697
"2021-03-14",4149,5580,2426,2519,6305,2330,1631,1821,26761
"2021-03-15",4152,5587,2426,2525,6347,2333,1632,1825,26827
"2021-03-16",4216,5624,2468,2573,6378,2350,1640,1850,27099
"2021-03-17",4255,5638,2492,2617,6412,2374,1646,1857,27291
"2021-03-18",4282,5672,2507,2649,6457,2389,1658,1869,27483
"2021-03-19",4344,5696,2536,2672,6504,2410,1664,1886,27712
"2021-03-20",4389,5722,2555,2702,6567,2436,1668,1894,27942
"2021-03-21",4399,5738,2557,2706,6610,2441,1675,1895,28021

